"","filesName","TCGA_Barcode"
"4d36e127-5fad-4b97-afff-28f4bdbf5f5d.htseq.counts.gz","4d36e127-5fad-4b97-afff-28f4bdbf5f5d.htseq.counts.gz","TCGA-55-8301-01A-11R-2287-07"
"ce0b61e5-ee68-4577-896c-aa3f2894fb36.htseq.counts.gz","ce0b61e5-ee68-4577-896c-aa3f2894fb36.htseq.counts.gz","TCGA-55-A48X-01A-11R-A24H-07"
"05d2b1e9-22a4-4369-b622-63846d672875.htseq.counts.gz","05d2b1e9-22a4-4369-b622-63846d672875.htseq.counts.gz","TCGA-MP-A4T6-01A-32R-A262-07"
"2e9ba05e-9255-4556-9cd2-78f7bca06f3f.htseq.counts.gz","2e9ba05e-9255-4556-9cd2-78f7bca06f3f.htseq.counts.gz","TCGA-NJ-A55O-01A-11R-A262-07"
"1142583c-2ca0-4f95-a94b-6f1a35ab1580.htseq.counts.gz","1142583c-2ca0-4f95-a94b-6f1a35ab1580.htseq.counts.gz","TCGA-86-8359-01A-11R-2326-07"
"b8ab62ef-0259-4df2-95b6-843a150d11ca.htseq.counts.gz","b8ab62ef-0259-4df2-95b6-843a150d11ca.htseq.counts.gz","TCGA-44-6775-01A-11R-1858-07"
"1aeb8b9e-bf79-415d-a8dd-a63c3fbe2bab.htseq.counts.gz","1aeb8b9e-bf79-415d-a8dd-a63c3fbe2bab.htseq.counts.gz","TCGA-55-6982-11A-01R-1949-07"
"cb537a4c-7b5c-493f-8dea-6fd0107e6c58.htseq.counts.gz","cb537a4c-7b5c-493f-8dea-6fd0107e6c58.htseq.counts.gz","TCGA-44-2655-01A-01R-0946-07"
"06db23e3-2dc3-4da9-915e-fe3d4a091de5.htseq.counts.gz","06db23e3-2dc3-4da9-915e-fe3d4a091de5.htseq.counts.gz","TCGA-NJ-A4YI-01A-11R-A262-07"
"3fbe693e-0d6c-4866-8b4d-2e9738c93e8d.htseq.counts.gz","3fbe693e-0d6c-4866-8b4d-2e9738c93e8d.htseq.counts.gz","TCGA-55-6980-01A-11R-1949-07"
"0707ddc2-77f7-41e2-ad4c-783673d0ecbe.htseq.counts.gz","0707ddc2-77f7-41e2-ad4c-783673d0ecbe.htseq.counts.gz","TCGA-83-5908-01A-21R-2287-07"
"112c839c-41b0-4864-8af1-3fda2e67e4b1.htseq.counts.gz","112c839c-41b0-4864-8af1-3fda2e67e4b1.htseq.counts.gz","TCGA-55-7570-01A-11R-2039-07"
"fdbe22dd-cc5e-465a-9bb4-5336ac42af75.htseq.counts.gz","fdbe22dd-cc5e-465a-9bb4-5336ac42af75.htseq.counts.gz","TCGA-49-4486-01A-01R-1206-07"
"0fca0e34-1499-410a-a5a1-561406245e03.htseq.counts.gz","0fca0e34-1499-410a-a5a1-561406245e03.htseq.counts.gz","TCGA-44-3396-01A-01R-1206-07"
"b9010a9a-7ee9-4f57-a1d3-5bba72acb67d.htseq.counts.gz","b9010a9a-7ee9-4f57-a1d3-5bba72acb67d.htseq.counts.gz","TCGA-38-4625-11A-01R-1758-07"
"2d683c1f-3a48-4bb8-84f9-bad6347c008b.htseq.counts.gz","2d683c1f-3a48-4bb8-84f9-bad6347c008b.htseq.counts.gz","TCGA-05-4249-01A-01R-1107-07"
"a7d6c6ab-c4c7-4d51-8aa6-5adb24f71754.htseq.counts.gz","a7d6c6ab-c4c7-4d51-8aa6-5adb24f71754.htseq.counts.gz","TCGA-44-A47A-01A-21R-A24H-07"
